iter	MultiClass
0	2.007405047
1	1.94707909
2	1.895949465
3	1.851132082
4	1.81131111
5	1.776305613
6	1.743800386
7	1.714653611
8	1.68868559
9	1.665079552
10	1.643959462
11	1.624342304
12	1.604973853
13	1.58804129
14	1.572727791
15	1.558187955
16	1.543785161
17	1.531439378
18	1.519912274
19	1.508788736
20	1.498418825
21	1.488801621
22	1.480065411
23	1.471922122
24	1.463361333
25	1.455888249
26	1.446705968
27	1.440067726
28	1.433303862
29	1.427618339
30	1.422024669
31	1.416577297
32	1.41154715
33	1.406634897
34	1.402385376
35	1.396571523
36	1.390241207
37	1.386210919
38	1.380432286
39	1.375740417
40	1.372350876
41	1.369045288
42	1.365720146
43	1.362690057
44	1.358105961
45	1.354992655
46	1.352496999
47	1.349715258
48	1.346604111
49	1.343296373
50	1.339314215
51	1.337262277
52	1.333795964
53	1.329896784
54	1.325749501
55	1.320936824
56	1.319133111
57	1.31587604
58	1.311849569
59	1.307502697
60	1.30584601
61	1.304454425
62	1.301062854
63	1.299690469
64	1.298460336
65	1.296171407
66	1.293049096
67	1.291007437
68	1.286784998
69	1.284789926
70	1.283977093
71	1.283234559
72	1.280866555
73	1.279906315
74	1.279001515
75	1.274740774
76	1.272346596
77	1.269360562
78	1.267918238
79	1.267043284
80	1.265828579
81	1.263670105
82	1.262294085
83	1.260494468
84	1.25814699
85	1.256723135
86	1.255593766
87	1.254230665
88	1.253025219
89	1.252515664
90	1.249732915
91	1.246128407
92	1.245219708
93	1.243284748
94	1.241888202
95	1.238886728
96	1.237975026
97	1.237127673
98	1.235349362
99	1.233967178
100	1.230088296
101	1.227012194
102	1.226409527
103	1.226095046
104	1.22384733
105	1.220916173
106	1.220348022
107	1.217882337
108	1.217182485
109	1.215811791
110	1.215278159
111	1.212827035
112	1.212184804
113	1.211504195
114	1.210695171
115	1.208829086
116	1.207942667
117	1.207084332
118	1.206262107
119	1.20551462
120	1.204949642
121	1.204476322
122	1.203999166
123	1.202004559
124	1.201079956
125	1.198587975
126	1.195764844
127	1.194625287
128	1.193552761
129	1.191465256
130	1.188851282
131	1.186642221
132	1.185869292
133	1.184156701
134	1.183950088
135	1.183541255
136	1.183307701
137	1.182430226
138	1.18043961
139	1.180134267
140	1.179406563
141	1.178621404
142	1.176520845
143	1.174857513
144	1.174136266
145	1.172714713
146	1.171410473
147	1.170117077
148	1.168289091
149	1.166737323
150	1.164994343
151	1.163127296
152	1.162860262
153	1.162255835
154	1.162050778
155	1.161106731
156	1.160467478
157	1.16022373
158	1.159990914
159	1.157494633
160	1.155931397
161	1.155205087
162	1.154237648
163	1.1529665
164	1.150734576
165	1.150433286
166	1.149555124
167	1.149322193
168	1.147746824
169	1.147386256
170	1.146022711
171	1.143964116
172	1.143263703
173	1.1428032
174	1.141366216
175	1.140292609
176	1.139904437
177	1.138666876
178	1.138325116
179	1.136254773
180	1.135316764
181	1.133561772
182	1.13279411
183	1.132531142
184	1.131653639
185	1.131207564
186	1.128832535
187	1.128186004
188	1.126620831
189	1.125175979
190	1.123000433
191	1.121392281
192	1.120762696
193	1.120034736
194	1.119453084
195	1.117877329
196	1.117364506
197	1.117067109
198	1.115643682
199	1.114951017
200	1.114275863
201	1.111795779
202	1.110730215
203	1.109782332
204	1.108891286
205	1.108670541
206	1.108067731
207	1.106585788
208	1.10458753
209	1.103796612
210	1.102863337
211	1.102158139
212	1.10195137
213	1.101264683
214	1.098918768
215	1.097798986
216	1.095775432
217	1.095108627
218	1.094472404
219	1.093391787
220	1.092647243
221	1.091500612
222	1.090372429
223	1.089176159
224	1.088344072
225	1.085924344
226	1.084450198
227	1.083574884
228	1.082583178
229	1.082126126
230	1.081388426
231	1.080042461
232	1.079093557
233	1.078822505
234	1.07778225
235	1.076530111
