,index,text,label
0,1809,buat para petani paslon ganjar pranowo dengerin banget aspirasinya kuota pupuk naik buat bantu pertanian kita #ganjarpranowopilihanumat #ganjarmahfudrebound #jnk,Sosial Budaya
1,3479,buat para petani paslon ganjar pranowo dengerin banget aspirasinya kuota pupuk naik buat bantu pertanian kita #ganjarpranowopilihanumat #ganjarmahfudrebound #jnk,Sosial Budaya
2,274,pulau sebira adalah saksi dari gagasan adil makmur untuk semua dengan segala perubahannya yang dirasakan langsung oleh warga hingga seorang tokoh di pulau sebira bicara lantang di depan warganya kami ingin bapak anies datang lagi ke sini namun sebagai presiden,Politik
3,343,pulau sebira adalah saksi dari gagasan adil makmur untuk semua dengan segala perubahannya yang dirasakan langsung oleh warga hingga seorang tokoh di pulau sebira bicara lantang di depan warganya kami ingin bapak anies datang lagi ke sini namun sebagai presiden,Politik
4,306,politics aside this is how adults should treat children kneel so you meet their eye level show them equal respect kudos to pak anies for having this kind of sensitivity to children,Sosial Budaya
5,3304,politics aside this is how adults should treat children kneel so you meet their eye level show them equal respect kudos to pak anies for having this kind of sensitivity to children,Sosial Budaya
6,32,capres cawapres ganjar pranowo dan mahfud md mengajak semua pihak untuk bersatu menjaga konstitusi atau aturan dasar negara#jnk #ganjarmahfudrebound #ganjarpranowopilihanumat,Ideologi
7,152,capres cawapres ganjar pranowo dan mahfud md mengajak semua pihak untuk bersatu menjaga konstitusi atau aturan dasar negara#jnk #ganjarmahfudrebound #ganjarpranowopilihanumat,Ideologi
8,1194,capres cawapres ganjar pranowo dan mahfud md mengajak semua pihak untuk bersatu menjaga konstitusi atau aturan dasar negara#jnk #ganjarmahfudrebound #ganjarpranowopilihanumat,Ideologi
9,1907,capres cawapres ganjar pranowo dan mahfud md mengajak semua pihak untuk bersatu menjaga konstitusi atau aturan dasar negara#jnk #ganjarmahfudrebound #ganjarpranowopilihanumat,Ideologi
10,3790,capres cawapres ganjar pranowo dan mahfud md mengajak semua pihak untuk bersatu menjaga konstitusi atau aturan dasar negara#jnk #ganjarmahfudrebound #ganjarpranowopilihanumat,Ideologi
