,text,label
0,kunjung prabowo ini untuk resmi dan serah proyek bantu air bersih di lima titik indonesiasentris indonesiahijau 02melanjutkan anakmudaindonesiaemas prabowo subianto,Sumber Daya Alam
1,anies dapat tepuk tangan riah saat jadi rektor wajib mata kuliah anti korupsi untuk putus mata rantai korupsi aminmiskinkankoruptor,Politik
2,emng bener sih dukung ada yg goblok begitu jg dg dukung hnya sj turut pak ridwan kamil skema balik klo mayoritas didik tengah atas arti ada jg didik rendah yg milih,Demografi
3,waktu anies sikap kritis ke kerja pak prabowo anggap engga sopan karena anggap kurang hormat orang tua gilir skrg gibran yg tengil dan sok kritis malah anggap kritis dan keras apakah ini tidak standar ganda,Politik
4,anies baswedan harap asn masuk tni dan polri pegang sumpah dalam milu,Politik
5,duh jangan sampai pak lurah denger nih di acara hajat rakyat puluh ribu warga di kendal seruk ganjar presiden hadir jadi magnet bagi puluh ribu warga untuk datang hadir hajat rakyat ganjar mahfud besar antusiasme warga jadi bukti bahwa jawa tengah tetap jadi kandang banteng ganjarmahfud2024 tabrakprofmahfud,Politik
6,prabowo minta kemenhan dan tim satgas air unhan kaji bantu air di sukabumi dekade prabowo gibran,Pertahanan dan Keamanan
7,anies ya allah sibuk orang zalim agar dapat jahat dari orang zalim lain,Politik
8,abah itu bapa kami bapa yg ikan perhati untuk didik anak anak papua jadi pintar pintar gerak indonesia ajar tak bisa di lupa sama warga papua kami ingin bapa anies jadi presiden,Politik
9,bawaslu maki jancuk sama warga gara copot spanduk ganjar mahfud sementara spanduk capres lain tidak copot bawaslu rasa tim sukses asalbukanprabowo ordebarureborn,Politik
10,beberapa isu basi kait dan fakta benar bisa lihat di beberapa antara anies akan ganti pancasila dengan sistem khilafah kait toleransi bagai anut agamaanies blunder soal data rumah ibadah di jakarta anies khianat prabowo untuk jadi capres saat benar dan fakta atas suatu hal telah jelas tapi tetap disangkalentah karena niat jahat nafsu atau penting pribadibenar bahwa seringkali yang buta itu bukan mata tapi hati yang buta,Ideologi
11,ganjar pranowo mahfud md tekan penting siap dalam butuh dasar alutsista dari tiga matra yaitu darat laut dan udara ganjar mahfud mnang ganjarmahfudrebound ganjarpranowopilihanumat jnk temanalamganjar atikohibunegara apri0801,Pertahanan dan Keamanan
