,text,label
0,kunjung prabowo resmi serah proyek bantu air bersih titik indonesiasentris indonesiahijau 02melanjutkan anakmudaindonesiaemas prabowo subianto,Sumber Daya Alam
1,anies tepuk tangan riah rektor wajib mata kuliah anti korupsi putus mata rantai korupsi aminmiskinkankoruptor,Politik
2,emng bener sih dukung goblok dukung hnya sj ridwan kamil skema mayoritas didik arti didik rendah milih,Demografi
3,anies sikap kritis kerja prabowo anggap engga sopan anggap hormat orang tua gilir skrg gibran tengil sok kritis anggap kritis keras standar ganda,Politik
4,anies baswedan harap asn masuk tni polri pegang sumpah milu,Politik
5,duh lurah denger nih acara hajat rakyat puluh ribu warga kendal seruk ganjar presiden hadir magnet puluh ribu warga hadir hajat rakyat ganjar mahfud antusiasme warga bukti jawa kandang banteng ganjarmahfud2024 tabrakprofmahfud,Politik
6,prabowo kemenhan tim satgas air unhan kaji bantu air sukabumi dekade prabowo gibran,Pertahanan dan Keamanan
7,anies ya allah sibuk orang zalim jahat orang zalim,Politik
8,abah bapa bapa ikan perhati didik anak anak papua pintar pintar gerak indonesia ajar lupa warga papua bapa anies presiden,Politik
9,bawaslu maki jancuk warga gara copot spanduk ganjar mahfud spanduk capres copot bawaslu tim sukses asalbukanprabowo ordebarureborn,Politik
10,isu basi kait fakta lihat anies ganti pancasila sistem khilafah kait toleransi anut agamaanies blunder data rumah ibadah jakarta anies khianat prabowo capres fakta disangkalentah niat jahat nafsu pribadibenar seringkali buta mata hati buta,Ideologi
11,ganjar pranowo mahfud md tekan butuh dasar alutsista matra darat laut udara ganjar mahfud mnang ganjarmahfudrebound ganjarpranowopilihanumat jnk temanalamganjar atikohibunegara apri0801,Pertahanan dan Keamanan
12,calon presiden capres nomor urut anies baswedan hadap debat debat sangkut tema tahan aman hubung internasional geopolitik download metrotvxtend store play store aniesbaswedan pemilu2024 debatcapres,Pertahanan dan Keamanan
13,capres ganjar pranowo rencana sinergi guru program bawa ubah positif ganjarmahfudrebound ganjarpranowopilihanumat jnk,Politik
14,apbd jumbo indonesia capai rp,Ekonomi
