index,text,label,occurence
"Index([1202, 2372], dtype='int64')",abah anies janji revisi uu kpk percaya publik presiden capres nomor urut anies baswedan janji laku calon benah hadap komisi berantas korupsi kpk menang pilih presiden pilpres langkah anies benah lembaga antirasuah revisi undang undang uu nomor ubah uu nomor komisi berantas tindak pidana korupsi anies langkah revisi uu tuju percaya publik kpk lembaga milik berantas korupsi kpk wibawa legal arti revisi undang kpk revisi kpk posisi kuat anies papar acara paku integritas calon presiden calon wakil presiden gedung kpk jakarta rabu malam uu anies komitmen cipta standar etika tubuh kpk anies unsur kpk pegawai makan giat dana kpk standar kpk undang undang kuat mandiri pimpin staf kerja kode etik anies anies rekrutmen tingkat pimpin tingkat pegawai usul presiden tingkat pimpin rekrutmen staf cari kerja anggota korupsi imbuh sumber aminmiskinkankoruptor,Pertahanan dan Keamanan,2
"Index([3652], dtype='int64')",abah anies janji revisi uu kpk percaya publik presiden capres nomor urut anies baswedan janji laku calon benah hadap komisi berantas korupsi kpk menang pilih presiden pilpres langkah anies benah lembaga antirasuah revisi undang undang uu nomor ubah uu nomor komisi berantas tindak pidana korupsi anies langkah revisi uu tuju percaya publik kpk lembaga milik berantas korupsi kpk wibawa legal arti revisi undang kpk revisi kpk posisi kuat anies papar acara paku integritas calon presiden calon wakil presiden gedung kpk jakarta rabu malam uu anies komitmen cipta standar etika tubuh kpk anies unsur kpk pegawai makan giat dana kpk standar kpk undang undang kuat mandiri pimpin staf kerja kode etik anies anies rekrutmen tingkat pimpin tingkat pegawai usul presiden tingkat pimpin rekrutmen staf cari kerja anggota korupsi imbuh sumber aminmiskinkankoruptor,Politik,1
"Index([8], dtype='int64')",abah bapa bapa perhati didik anak anak papua pintar pintar gerak indonesia ajar lupa warga papua bapa anies presiden,Politik,1
"Index([3033], dtype='int64')",abah bapa bapa perhati didik anak anak papua pintar pintar gerak indonesia ajar lupa warga papua bapa anies presiden,Sosial Budaya,1
"Index([384], dtype='int64')",akhirnyaaaaa biaya logistik indonesia anies lihat lihat akar jalan tol tarif jalan non tol rusak kereta alat angkut logistik pungut bohong berantas,Politik,1
"Index([4539], dtype='int64')",akhirnyaaaaa biaya logistik indonesia anies lihat lihat akar jalan tol tarif jalan non tol rusak kereta alat angkut logistik pungut bohong berantas,Ekonomi,1
"Index([155, 233, 1779], dtype='int64')",al fatihah alm lambang babar purnomo alumnus arkeologi ugm duga bunuh saksi curi palsu arca museum radya pustaka libat hashim djojohadikusumo adik prabowo,Pertahanan dan Keamanan,3
"Index([3644], dtype='int64')",al fatihah alm lambang babar purnomo alumnus arkeologi ugm duga bunuh saksi curi palsu arca museum radya pustaka libat hashim djojohadikusumo adik prabowo,Politik,1
"Index([882], dtype='int64')",anies bangun stadion sepak bola jis iklim kompetisi sehat,Ekonomi,1
"Index([4882], dtype='int64')",anies bangun stadion sepak bola jis iklim kompetisi sehat,Politik,1
"Index([4241], dtype='int64')",anies bicara latar jis amin maju sepak bola nasional umpanmanies,Politik,1
"Index([4643], dtype='int64')",anies bicara latar jis amin maju sepak bola nasional umpanmanies,Sosial Budaya,1
"Index([3243], dtype='int64')",anies indonesia hadir serius upaya merdeka palestina prabowo lemah tindas usir tanah air gaza sila rakyat nilai,Pertahanan dan Keamanan,1
"Index([3750], dtype='int64')",anies indonesia hadir serius upaya merdeka palestina prabowo lemah tindas usir tanah air gaza sila rakyat nilai,Politik,1
"Index([3884], dtype='int64')",anies kuliah fe ugm kuliah redaktur bawa acara tanah merdeka aktif hmi ketua senat fakultas ketua senat universitas pimpin giat ribu mahasiswa fakultas,Sosial Budaya,1
"Index([4856], dtype='int64')",anies kuliah fe ugm kuliah redaktur bawa acara tanah merdeka aktif hmi ketua senat fakultas ketua senat universitas pimpin giat ribu mahasiswa fakultas,Politik,1
"Index([750, 2206], dtype='int64')",anies massa kendali anies silahturahmi masyarakat ambon sambut puluh ribu masyarakat ambon malu senin januari,Sosial Budaya,2
"Index([2679], dtype='int64')",anies massa kendali anies silahturahmi masyarakat ambon sambut puluh ribu masyarakat ambon malu senin januari,Politik,1
"Index([24], dtype='int64')",anies sosok ayah penuh hangat mmg sosok ayah penuh hangat lihat tayang video tangan lentur banget gendong anak luwes ngga kaku ngga anak anak gendong peluk peluk kuat sejati tenang peluk ayah aniesbubble aniesmuhaimin2024,Pertahanan dan Keamanan,1
"Index([557], dtype='int64')",anies sosok ayah penuh hangat mmg sosok ayah penuh hangat lihat tayang video tangan lentur banget gendong anak luwes ngga kaku ngga anak anak gendong peluk peluk kuat sejati tenang peluk ayah aniesbubble aniesmuhaimin2024,Ekonomi,1
"Index([1967], dtype='int64')",calon presiden capres nomor urut ganjar pranowo giat kampanye daerah blora jawa kamis lokasi ganjar turun mobil temu tani tabur pupuk lihat giat tani ganjar gabung tani tabur pupuk lihat ganjar teman tani kunjung ganjar dengar keluh kesah tani milik kredit utang usaha rakyat kur ganjar organisasi identifikasi tani ikat utang kur klasifikasi layak terima bantu program putih hutang kur ganjar dengar warga bantu langsung tunai blt blt ganjar ganjar dengar keluh kena sulit subsidi pupuk blora kuota ganjar komitmen pupuk subsidi pelihara data subsidi pupuk sasar hasil tahan pangan pdiperjuangan ganjaruntuksemua ganjarpresiden menangkanganjar nomor3pilihanku ganjarmahfud2024 ganjarsatset mahfudtastes,Ekonomi,1
"Index([4094, 4349], dtype='int64')",calon presiden capres nomor urut ganjar pranowo giat kampanye daerah blora jawa kamis lokasi ganjar turun mobil temu tani tabur pupuk lihat giat tani ganjar gabung tani tabur pupuk lihat ganjar teman tani kunjung ganjar dengar keluh kesah tani milik kredit utang usaha rakyat kur ganjar organisasi identifikasi tani ikat utang kur klasifikasi layak terima bantu program putih hutang kur ganjar dengar warga bantu langsung tunai blt blt ganjar ganjar dengar keluh kena sulit subsidi pupuk blora kuota ganjar komitmen pupuk subsidi pelihara data subsidi pupuk sasar hasil tahan pangan pdiperjuangan ganjaruntuksemua ganjarpresiden menangkanganjar nomor3pilihanku ganjarmahfud2024 ganjarsatset mahfudtastes,Sosial Budaya,2
"Index([1763], dtype='int64')",capres no ganjar pranowo tulus tani tembakau dukung kunci hasil produksi tembakau ganjarmahfudrebound ganjarpranowopilihanumat jnk,Sosial Budaya,1
"Index([4192], dtype='int64')",capres no ganjar pranowo tulus tani tembakau dukung kunci hasil produksi tembakau ganjarmahfudrebound ganjarpranowopilihanumat jnk,Ekonomi,1
"Index([198, 2125], dtype='int64')",desak anies ambon pinggir pantai baby indah beach spesial aspirasi muncul hidup wilayah timur indonesia potensi,Sosial Budaya,2
"Index([1688, 3302], dtype='int64')",desak anies ambon pinggir pantai baby indah beach spesial aspirasi muncul hidup wilayah timur indonesia potensi,Sumber Daya Alam,2
"Index([2240], dtype='int64')",dukung masyarakat cilincing warga nama ning indonesiasentris indonesiahijau 02melanjutkan anakmudaindonesiaemas prabowo subianto,Ekonomi,1
"Index([3929], dtype='int64')",dukung masyarakat cilincing warga nama ning indonesiasentris indonesiahijau 02melanjutkan anakmudaindonesiaemas prabowo subianto,Ideologi,1
"Index([687], dtype='int64')",food estate canang juli bantu menteri pupr menteri tani garis food estate program ekstensifikasi tani buka lahan ubah lahan tani canang food estate kerja kalimantan daerah gunung emas pt libat program dasar telusur tempo pt bentuk pt agrinas susun arah gerindra staf agrinas rangkap pegawai menteri tahan food estate food estate rencana buka ribu hektar hutan hujan tropis canang anggota tni libat babat hutan hutan buka hektar hutan kayu hasil kayu tiada tiada erti food estate tanam singkong bekas hutan tanah pasir singkong tumbuh kurun tutup gagal jagung polibag hektare lahan hasil puas sisi anggar food estate masuk kategori psn anggar capai triliun anggar triliun anggar triliun jokowi anggar butuh triliun lapor ppatk masuk kantong asn politis triliun masuk kantong kalo laksana orang hasil jalan panen jagung signifikan kalo rasional skor nilai kerja prabowo food estate hitung lahan babat hektar banding polibag jagung panen jokowi hektar katrol jagung polybag anies baswedan hati score tanam singkong tumbuh jagung triliun hilang nanggung proyek panggung hasil nendang kapasitas nanggung eh maksa milu mudah klik pesanuntukabah aminejadulu,Sumber Daya Alam,1
"Index([2585], dtype='int64')",food estate canang juli bantu menteri pupr menteri tani garis food estate program ekstensifikasi tani buka lahan ubah lahan tani canang food estate kerja kalimantan daerah gunung emas pt libat program dasar telusur tempo pt bentuk pt agrinas susun arah gerindra staf agrinas rangkap pegawai menteri tahan food estate food estate rencana buka ribu hektar hutan hujan tropis canang anggota tni libat babat hutan hutan buka hektar hutan kayu hasil kayu tiada tiada erti food estate tanam singkong bekas hutan tanah pasir singkong tumbuh kurun tutup gagal jagung polibag hektare lahan hasil puas sisi anggar food estate masuk kategori psn anggar capai triliun anggar triliun anggar triliun jokowi anggar butuh triliun lapor ppatk masuk kantong asn politis triliun masuk kantong kalo laksana orang hasil jalan panen jagung signifikan kalo rasional skor nilai kerja prabowo food estate hitung lahan babat hektar banding polibag jagung panen jokowi hektar katrol jagung polybag anies baswedan hati score tanam singkong tumbuh jagung triliun hilang nanggung proyek panggung hasil nendang kapasitas nanggung eh maksa milu mudah klik pesanuntukabah aminejadulu,Politik,1
"Index([2599, 3180, 3948, 4259, 4292], dtype='int64')",food estate canang juli bantu menteri pupr menteri tani garis food estate program ekstensifikasi tani buka lahan ubah lahan tani canang food estate kerja kalimantan daerah gunung emas pt libat program dasar telusur tempo pt bentuk pt agrinas susun arah gerindra staf agrinas rangkap pegawai menteri tahan food estate food estate rencana buka ribu hektar hutan hujan tropis canang anggota tni libat babat hutan hutan buka hektar hutan kayu hasil kayu tiada tiada erti food estate tanam singkong bekas hutan tanah pasir singkong tumbuh kurun tutup gagal jagung polibag hektare lahan hasil puas sisi anggar food estate masuk kategori psn anggar capai triliun anggar triliun anggar triliun jokowi anggar butuh triliun lapor ppatk masuk kantong asn politis triliun masuk kantong kalo laksana orang hasil jalan panen jagung signifikan kalo rasional skor nilai kerja prabowo food estate hitung lahan babat hektar banding polibag jagung panen jokowi hektar katrol jagung polybag anies baswedan hati score tanam singkong tumbuh jagung triliun hilang nanggung proyek panggung hasil nendang kapasitas nanggung eh maksa milu mudah klik pesanuntukabah aminejadulu,Ekonomi,5
"Index([822], dtype='int64')",gagas anies baswedan film indonesia lokomotif maju industri kreatif indonesia kek beliau program detail film,Ekonomi,1
"Index([1230], dtype='int64')",gagas anies baswedan film indonesia lokomotif maju industri kreatif indonesia kek beliau program detail film,Sosial Budaya,1
"Index([834], dtype='int64')",ganggu kampanye susu sapi prabowo gibran bbrp alas mentah bijak gizi perintah kampanye gizi imbang bangkit kampanye gizi kuno sehat sempurna tinggal,Politik,1
"Index([878], dtype='int64')",ganggu kampanye susu sapi prabowo gibran bbrp alas mentah bijak gizi perintah kampanye gizi imbang bangkit kampanye gizi kuno sehat sempurna tinggal,Sosial Budaya,1
"Index([2043], dtype='int64')",gibran klaim food estate singkong prabowo panen greenpeace kali lokasi tempobisnis,Sumber Daya Alam,1
"Index([2175], dtype='int64')",gibran klaim food estate singkong prabowo panen greenpeace kali lokasi tempobisnis,Politik,1
"Index([283], dtype='int64')",jelang malam terima kasih prabowo apatis putus tulis pilpres kali rela periode pimpin prabowo pilih dukung penasaran pimpin prabowo kali kali pilpres suara bentuk dukung buka beliau pimpin negeri bahas langgar etik mk trigger cari informasi deklarasi buah tweet serah pilih renung jenak gerak cari pikir adil berstatemen cari calon pasang golput pilpres kali cari timbang nimbang nilai nilai hak hak juang condong anies baswedan hubung anies baswedan pikir pilpres kali tarung prabowo ganjar cari cocok anies putus dukung dukung pilih putus bicara anies media sosial jelek jelek salah paslon dukung anies garis keras orang ganggu langgar langgar etik gerak cari condong salah paslon salah paslon resah tindak tanduk indikasi kuasa kuasa negara presiden jabat jabat gatal komentar peduli pilpres kali trigger prilaku niretika salah paslon kuasa terima kasih prabowo cari informasi informasi kait milu berani suara suara pilih ketidaksukaanku langgar langgar dukung garis gas anies baswedan hadir paslon laku langgar etika kuasa negeri selamat malam,Politik,1
"Index([877, 1145, 2179, 2556, 4962], dtype='int64')",jelang malam terima kasih prabowo apatis putus tulis pilpres kali rela periode pimpin prabowo pilih dukung penasaran pimpin prabowo kali kali pilpres suara bentuk dukung buka beliau pimpin negeri bahas langgar etik mk trigger cari informasi deklarasi buah tweet serah pilih renung jenak gerak cari pikir adil berstatemen cari calon pasang golput pilpres kali cari timbang nimbang nilai nilai hak hak juang condong anies baswedan hubung anies baswedan pikir pilpres kali tarung prabowo ganjar cari cocok anies putus dukung dukung pilih putus bicara anies media sosial jelek jelek salah paslon dukung anies garis keras orang ganggu langgar langgar etik gerak cari condong salah paslon salah paslon resah tindak tanduk indikasi kuasa kuasa negara presiden jabat jabat gatal komentar peduli pilpres kali trigger prilaku niretika salah paslon kuasa terima kasih prabowo cari informasi informasi kait milu berani suara suara pilih ketidaksukaanku langgar langgar dukung garis gas anies baswedan hadir paslon laku langgar etika kuasa negeri selamat malam,Ideologi,5
"Index([2279], dtype='int64')",jokowi sinkronisasi malu mem babi buta kajitow elkayeni tampil prabowo debat berantak orang menhan paham tahan laku prabowo kerja serah orang isi oopilot prabowo rapat istana laku kunjung seremonial biar muka nongol kamera gagas prabowo ngeblank kritik aman bingung memposisikan korban laku ad hominem utara data tim prabowo usaha narasi bodoh tahan rahasia undang undang rahasia rahasia arah presiden turun tangan tumpuk bakar catat debat jokowi sok sok perintah kpu sejarah indonesia kali presiden campur teknis urus internal kpu calon presiden kecuali jokowi nyapres konstitusi larang dpr tolak amandemen undang undang dasar orang presiden kampanye bansos baliho prabowo gibran kadang beras amplop buah video banten presiden lempar lempar kaos massa timses rawan kerumun olah olah hadir jokowi sambut tumpah ruah disetting hadir jokowi anggap pamor redup sebentar orang orang ungkit dosa dosa massa beras kaos jokowi anggap kaum dhuafa kelompok miskin eksploitasi miskin kaos lempar lempar politis kacrut laku rupa komentar ekspos bantu cium raja derajat jelata beda politis tengik butuh efek penuh sesak olah olah sambut riah hadir kim jong un korea utara pikir kondisi gendong bayi jatuh bayi injak injak manusia dasar rezim feodal samping jokowi mendag zulhas clingak clinguk tim dokumen nyata tolol tim istana nyawa rakyat injak bayi mati ya salah miskin orang miskin laku hina kuasa diam kepala jokowi kondisi panik prabowo untung putar prabowo kalah lawan instrumen kuasa kerah polisi satpol pp kepala desa babinsa elektabilitas puncak ancam turun tampil prabowo buruk bumn gerak bohir setir bansos blt alir air bah politis aneh aneh ancam hukum ngos ngosan ya rugi bandar orang panik,Politik,1
"Index([2799], dtype='int64')",jokowi sinkronisasi malu mem babi buta kajitow elkayeni tampil prabowo debat berantak orang menhan paham tahan laku prabowo kerja serah orang isi oopilot prabowo rapat istana laku kunjung seremonial biar muka nongol kamera gagas prabowo ngeblank kritik aman bingung memposisikan korban laku ad hominem utara data tim prabowo usaha narasi bodoh tahan rahasia undang undang rahasia rahasia arah presiden turun tangan tumpuk bakar catat debat jokowi sok sok perintah kpu sejarah indonesia kali presiden campur teknis urus internal kpu calon presiden kecuali jokowi nyapres konstitusi larang dpr tolak amandemen undang undang dasar orang presiden kampanye bansos baliho prabowo gibran kadang beras amplop buah video banten presiden lempar lempar kaos massa timses rawan kerumun olah olah hadir jokowi sambut tumpah ruah disetting hadir jokowi anggap pamor redup sebentar orang orang ungkit dosa dosa massa beras kaos jokowi anggap kaum dhuafa kelompok miskin eksploitasi miskin kaos lempar lempar politis kacrut laku rupa komentar ekspos bantu cium raja derajat jelata beda politis tengik butuh efek penuh sesak olah olah sambut riah hadir kim jong un korea utara pikir kondisi gendong bayi jatuh bayi injak injak manusia dasar rezim feodal samping jokowi mendag zulhas clingak clinguk tim dokumen nyata tolol tim istana nyawa rakyat injak bayi mati ya salah miskin orang miskin laku hina kuasa diam kepala jokowi kondisi panik prabowo untung putar prabowo kalah lawan instrumen kuasa kerah polisi satpol pp kepala desa babinsa elektabilitas puncak ancam turun tampil prabowo buruk bumn gerak bohir setir bansos blt alir air bah politis aneh aneh ancam hukum ngos ngosan ya rugi bandar orang panik,Ideologi,1
"Index([1582], dtype='int64')",kampung susun kunir jakarta karya anies baswedan raih medali emas world habitat awards loh kampung susun menang lomba inovasi solusi solusi kota tingkat dunia resmi kampung susun kunir,Sosial Budaya,1
"Index([1833], dtype='int64')",kampung susun kunir jakarta karya anies baswedan raih medali emas world habitat awards loh kampung susun menang lomba inovasi solusi solusi kota tingkat dunia resmi kampung susun kunir,Sumber Daya Alam,1
"Index([741, 2996], dtype='int64')",kasi bener gaza genosida israel bilang lemah prabowo,Sosial Budaya,2
"Index([1169], dtype='int64')",kasi bener gaza genosida israel bilang lemah prabowo,Politik,1
"Index([355], dtype='int64')",kawal lapis pilpres kali pilpres licik tenaga laku waspada ketat kawal anies lapis protokoler aman kepala negara,Pertahanan dan Keamanan,1
"Index([1856], dtype='int64')",kawal lapis pilpres kali pilpres licik tenaga laku waspada ketat kawal anies lapis protokoler aman kepala negara,Politik,1
"Index([3879], dtype='int64')",lahir gede nenek nenek moyang jakarta dah kepala era anies jakarta adem indahhhh banget jazakallah moga berat timbang amal yaumil hisab moga cacat sejarah jakarta,Ideologi,1
"Index([4207], dtype='int64')",lahir gede nenek nenek moyang jakarta dah kepala era anies jakarta adem indahhhh banget jazakallah moga berat timbang amal yaumil hisab moga cacat sejarah jakarta,Demografi,1
"Index([839, 1744, 2185, 2354, 2469, 2890, 2970, 3003, 4794, 4926], dtype='int64')",liat track record nya ganjar pranowo mahfud md banget deh ganjar pranowo mahfud mdmahfudrebound ganjar pranowo mahfud mdpranowopilihanumat jnk,Politik,10
"Index([1345, 4471, 4527], dtype='int64')",liat track record nya ganjar pranowo mahfud md banget deh ganjar pranowo mahfud mdmahfudrebound ganjar pranowo mahfud mdpranowopilihanumat jnk,Ideologi,3
"Index([1765], dtype='int64')",liat track record nya ganjar pranowo mahfud md banget deh ganjar pranowo mahfud mdmahfudrebound ganjar pranowo mahfud mdpranowopilihanumat jnk,Sumber Daya Alam,1
"Index([2278], dtype='int64')",luas jogja rb hektar luas jakarta rb hektar luas singapura rb hektar anies bicara timpang orang tanah rb hektar prajurit tni jaga awas negara rumah,Pertahanan dan Keamanan,1
