,text,label,text_uncleaned
0,kunjungan prabowo ini untuk meresmikan dan menyerahkan proyek bantuan air bersih di lima titik #indonesiasentris #indonesiahijau #02melanjutkan #anakmudaindonesiaemas prabowo subianto,Sumber Daya Alam,Kunjungan Prabowo ini untuk meresmikan dan menyerahkan proyek bantuan air bersih di lima titik. #IndonesiaSentris #IndonesiaHijau #02Melanjutkan #AnakMudaIndonesiaEmas Prabowo Subianto
1,anies dapat tepuk tangan meriah saat jadi rektor mewajibkan mata kuliah antikorupsi untuk memutus mata rantai korupsi #aminmiskinkankoruptor,Politik,RT Anies dapat tepuk tangan meriah saat jadi Rektor mewajibkan mata kuliah anti-korupsi untuk memutus mata rantai korupsi.. #AminMiskinkanKoruptor https://t.co/hgXsoQGaEa [RE ekowboy2]
2,emng bener sih pendukung ada yg goblok begitu jg dg pendukung hnya sj menurut pak ridwan kamil skemanya terbalik klo mayoritas pendidikan menengah atas artinya ada jg pendidikan rendah yg milih,Demografi,"@CIqXqwGAT04tMtx4OCATxjoVq7vv/Y8HeYaIOgMFg8Y= emng bener sih, pendukung 01 ada yg goblok, begitu jg dg pendukung 02.. hnya sj menurut pak Ridwan Kamil skemanya terbalik, klo 01 MAYORITAS PENDIDIKAN MENENGAH ATAS (artinya ada jg pendidikan rendah yg milih"
3,sewaktu anies bersikap kritis ke kinerja pak prabowo dianggap engga sopan karena dianggap kurang menghormati orang tua giliran skrg gibran yg tengil dan sok kritis malah dianggap kritis dan keras apakah ini tidak standar ganda,Politik,"RT @L3R8XFBw3WGbxRPSj0/0hHZTbqVGX7qtfwRg9zmhK7Q= Sewaktu anies bersikap kritis ke kinerja pak prabowo dianggap engga sopan karena dianggap kurang menghormati orang tua, giliran skrg gibran yg tengil dan sok kritis malah dianggap kritis dan keras. Apakah ini tidak standar ganda? ÃƒÂ°Ã‚Å¸Ã‚Â¤Ã‚Â­ [RE coldthem]"
4,anies baswedan harap asn termasuk tni dan polri pegang sumpahnya dalam pemilu,Politik,Anies Baswedan Harap ASN termasuk TNI dan Polri Pegang Sumpahnya dalam Pemilu https://t.co/QRQZ3wI8YP
5,duh jangan sampai pak lurah denger nih di acara hajatan rakyat puluhan ribu warga di kendal serukan ganjar presiden kehadiran menjadi magnet bagi puluhan ribu warga untuk datang menghadiri hajatan rakyat ganjarmahfud besarnya antusiasme warga menjadi bukti bahwa jawa tengah tetap menjadi kandang banteng #ganjarmahfud2024 #tabrakprofmahfud,Politik,"RT Duh jangan sampai Pak lurah denger nih ÃƒÂ°Ã‚Å¸Ã‚Â¤Ã‚Â­ Di Acara Hajatan Rakyat, Puluhan Ribu Warga di Kendal Serukan ÃƒÂ¢Ã‚â‚¬Ã‚Å“Ganjar PresidenÃƒÂ¢Ã‚â‚¬Ã‚Â Kehadiran @0Zdeh9QcTWu+z+fS3hRaTcFuSLRh56REFyRLq4/Jdlc= menjadi magnet bagi puluhan ribu warga untuk datang menghadiri Hajatan Rakyat Ganjar-Mahfud. Besarnya antusiasme warga menjadi bukti bahwa Jawa Tengah tetap menjadi kandang banteng. #GanjarMahfud2024 #TabrakProfMahfud [RE DS_yantie]"
6,prabowo minta kemenhan dan tim satgas air unhan kaji bantuan air di sukabumi dekade prabowo gibran,Pertahanan dan Keamanan,Prabowo minta Kemenhan dan Tim Satgas Air Unhan kaji bantuan air di Sukabumi. dekade08 Prabowo - Gibran
7,anies ya allah sibukkanlah orang zalim agar dapat kejahatan dari orang zalim lainnya,Politik,RT Anies: Ya Allah Sibukkanlah Orang Zalim Agar Dapat Kejahatan dari Orang Zalim Lainnya https://t.co/1VK6BWKu2s [RE OposisiCerdas]
8,abah itu bapa kami bapa yg berikan perhatian untuk pendidikan anak anak papua jadi pintar pintar gerakan indonesia mengajar tak bisa di lupakan sama warga papua kami ingin bapa anies jadi presiden,Politik,"RT Abah @znOMP7ZMVU9dMuMNA/cIazC9q5+hgwVkTsQNdQLKgTc= itu bapa kami, bapa yg berikan perhatian untuk pendidikan anak anak Papua jadi pintar pintar. Gerakan Indonesia mengajar tak bisa di lupakan sama warga Papua. Kami ingin bapa Anies jadi Presiden. https://t.co/FCdf6J1L3Z [RE LANGKAHANIES]"
9,bawaslu dimaki jancuk sama warga gara mencopot spanduk ganjar mahfud sementara spanduk capres lain tidak dicopot bawaslu rasa tim sukses #asalbukanprabowo #ordebarureborn,Politik,"RT Bawaslu dimaki ""JANCUK"" sama warga garaÃƒâ€šÃ‚Â² mencopot spanduk Ganjar Mahfud, sementara spanduk Capres lain tidak dicopot. Bawaslu rasa tim sukses. ÃƒÂ°Ã‚Å¸Ã‚ËœÃ‚Âª #AsalBukanPrabowo #OrdeBaruReborn https://t.co/AcubW2OFlq [RE 03__nakula]"
10,beberapa isu basi terkait dan fakta sebenarnya bisa dilihat di beberapa diantaranya anies akan mengganti pancasila dengan sistem khilafah terkait toleransi berbagai penganut agamaanies blunder soal data rumah ibadah di jakarta anies mengkhianati prabowo untuk jadi capres saat kebenaran dan fakta atas suatu hal telah jelas tapi tetap disangkalentah karena niat jahat nafsu atau kepentingan pribadibenar bahwa seringkali yang buta itu bukan mata tapi hati yang buta,Ideologi,"RT Beberapa isu basi terkait @hs5jZceksZrPM0NiWtKnsbSbZ1XyaZtU4OHkKgrcDk8= / @wEOWbjbQXX93e2r1/7iXQ1mV/pxGE9yrnUdgURpW0Y0= dan fakta sebenarnya bisa dilihat di https://t.co/3aR3K0Plf4. Beberapa diantaranya: ÃƒÂ¢Ã‚â‚¬Ã‚Â¢ Anies akan mengganti Pancasila dengan sistem Khilafah: https://t.co/jfzZ6vpU11 ÃƒÂ¢Ã‚â‚¬Ã‚Â¢ Terkait toleransi berbagai penganut agamaÃƒÂ¢Ã‚â‚¬Ã‚â€Anies blunder soal data rumah ibadah di Jakarta: https://t.co/nGdOmaVOEO ÃƒÂ¢Ã‚â‚¬Ã‚Â¢ Anies mengkhianati Prabowo untuk jadi Capres: https://t.co/ioe8x09UpZ Saat kebenaran dan fakta atas suatu hal telah jelas, tapi tetap disangkalÃƒÂ¢Ã‚â‚¬Ã‚â€entah karena niat jahat, nafsu, atau kepentingan pribadiÃƒÂ¢Ã‚â‚¬Ã‚Â¦benar bahwa seringkali yang buta itu bukan mata, tapi hati yang buta. [RE borryshasian]"
11,ganjar pranowomahfud md menekankan pentingnya persiapan dalam kebutuhan dasar alutsista dari tiga matra yaitu darat laut dan udaraganjar mahfud mnang #ganjarmahfudrebound #ganjarpranowopilihanumat #jnk #temanalamganjar #atikohibunegara #apri0801,Pertahanan dan Keamanan,"RT Ganjar Pranowo-Mahfud MD menekankan pentingnya persiapan dalam kebutuhan dasar alutsista dari tiga matra, yaitu darat, laut, dan udara.Ganjar Mahfud M3nang. #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK #TemanAlamGanjar #AtikohIbuNegara #Apri0801 https://t.co/kxi9ei6A46 [RE AllaaGa1]"
12,calon presiden capres nomor urut anies baswedan sudah siap dengan kemampuannya menghadapi debat ketiga debat ketiga akan menyangkut tema soal pertahanan keamanan hubungan internasional dan geopolitik download #metrotvxtend di app store play store #aniesbaswedan #pemilu2024 #debatcapres,Pertahanan dan Keamanan,"RT Calon presiden (capres) nomor urut 1 Anies Baswedan @vaVbSLyok3xdwCAiYpXkJarkzroaILpIRIdpu/z3CJE= sudah siap dengan kemampuannya menghadapi debat ketiga. Debat ketiga akan menyangkut tema soal pertahanan, keamanan, hubungan internasional, dan geopolitik. Download #metrotvxtend di app store & play store #aniesbaswedan #pemilu2024 #debatcapres [RE Metro_TV]"
13,capres ganjar pranowo punya rencana besar dia bakal bersinergi sama perguruan tinggi buat program yang membawa perubahan positif #ganjarmahfudrebound #ganjarpranowopilihanumat #jnk,Politik,Capres Ganjar Pranowo punya rencana besar! Dia bakal bersinergi sama perguruan tinggi buat program yang membawa perubahan positif. #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/L8MREZKfXz
14,dengan pendapatan apbd jumbo paling besar seindonesia mencapai rp,Ekonomi,"@YcALzIavlM9mN2WtCz3omAmFsnJU8aBm4seMBHJD2vc= @tDtdY83jBV3k81lsAOhmIc1vK+/zGxcIdKVOWIu29xI= @Knh1OhMlSdWjOdPeGirPIxWUf4qXOOU/iNP8ZBTeaLE= @K7Z2vGLl2OuxDbFwAiP8MxCqp07lzjNsfLWVZu5Ipz4= Dengan pendapatan APBD jumbo, paling besar se-Indonesia, mencapai Rp 77"
15,kenyataan yg timbul menghancurkan pribadi yg isinya penuh kebencian ke ayahbowo adalahkita menimbulkan dampak emosional di pemilih #munculfenomenapakbowo dukungantulus untuk @kcwvmtaxpchveyhoebrkxuugg,Politik,"@VHznvAltictn2PtvpMTLB+H/VJ6L603oe1oRpSZJtO4= Kenyataan yg timbul, menghancurkan pribadi yg isinya penuh kebencian ke AyahBOWO AdalahKITA menimbulkan dampak emosional di pemilih. #MunculFenomenaPAKbowo DukunganTulus Untuk02 @K5CWVm/0TA1XpCHveYhOEBrkxUugg2"
